# gx gy gz (ECEF center)
# id px py pz (point data)
-3957807.463847000151873 3357257.015753999818116 3695139.802271000109613
607 28.686293 94.102043 -49.174370
608 29.062904 87.239952 -48.797970
609 30.146200 90.795120 -50.230255
610 29.138313 93.964714 -50.166740
611 31.840235 87.711441 -49.913757
612 30.052145 89.751122 -49.943596
613 29.012289 87.452362 -48.933796
614 28.676666 94.546112 -49.173637
615 33.847950 100.461533 -54.907421
616 39.130753 106.023491 -57.477276
617 33.663445 103.039169 -54.640625
618 31.358946 92.767784 -51.208637
619 28.838879 93.177902 -48.591839
620 55.374767 137.685822 -63.394554
621 85.517487 189.340714 -82.981659
622 28.866819 93.249733 -48.464264
623 33.641670 124.629868 -63.889381
624 44.915283 123.633881 -35.828499
625 31.174032 93.877495 -49.607712
626 29.904474 90.227005 -49.896015
627 50.563293 136.701843 -61.095360
628 31.025501 87.195496 -48.996704
629 32.432518 90.869781 -52.115696
630 33.323322 92.722961 -52.631775
631 28.900652 94.384087 -50.006786
632 31.877745 87.617119 -49.775768
633 30.127333 84.871429 -45.206398
634 29.344528 94.370171 -50.265125
